Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default P(X),Loss (X),X.P(X),Expected loss,,,,
1912,8.87,34.40%,0.0062,581872,3607.6064,,,,,
1913,8.14,20.85%,0.0098,644281,6313.9538,,,,,
1914,21.09,20.38%,0.0039,1679185.8,6548.82462,,,,,
1915,21.26,37.64%,0.0013,1325773.6,1723.50568,,,,,
1916,22.02,16.63%,0.008,1835807.4,14686.4592,,,,,
1917,8.81,24.29%,0.0011,667005.1,733.70561,,,,,
1918,21.11,36.86%,0.0069,1332885.4,9196.90926,,,,,
1919,2.16,22.93%,0.0046,166471.2,765.76752,,,,,
1920,9.49,3.22%,0.0039,918442.2,3581.92458,,,,,
1921,22.63,29.58%,0.0091,1593604.6,14501.80186,,,,,
1922,1.02,5.45%,0.004,96441,385.764,,,,,
1923,9.29,27.45%,0.0079,673989.5,5324.51705,,,,,
1924,6.49,14.83%,0.0098,552753.3,5416.98234,,,,,
1925,10.36,2.80%,0.0069,1006992,6948.2448,,,,,
1926,3.49,12.28%,0.0093,306142.8,2847.12804,,,,,
1927,19.34,36.73%,0.0059,1223641.8,7219.48662,,,,,
1928,9.74,2.89%,0.0085,945851.4,8039.7369,,,,,
1929,6.94,18.32%,0.0003,566859.2,170.05776,,,,,
1930,18.65,29.89%,0.006,1307551.5,7845.309,,,,,
1931,3.72,12.86%,0.0051,324160.8,1653.22008,,,,,
1932,7.57,38.61%,0.0065,464722.3,3020.69495,,,,,
1933,1.13,0.32%,0.0071,112638.4,799.73264,,,,,
1934,8.01,8.74%,0.0012,730992.6,877.19112,,,,,
1935,19.56,26.28%,0.0057,1441963.2,8219.19024,,,,,
1936,3.54,36.92%,0.0045,223303.2,1004.8644,,,,,
1937,2.38,23.23%,0.0011,182712.6,200.98386,,,,,
1938,16.58,32.62%,0.0066,1117160.4,7373.25864,,,,,
1939,14.13,31.25%,0.0021,971437.5,2040.01875,,,,,
1940,3.98,30.26%,0.0001,277565.2,27.75652,,,,,
1941,20.96,9.29%,0.003,1901281.6,5703.8448,,,,,
1942,24.33,15.56%,0.0073,2054425.2,14997.30396,,,,,
1943,12.46,27.27%,0.009,906215.8,8155.9422,,,,,
1944,16.71,8.36%,0.0089,1531304.4,13628.60916,,,,,
1945,18.98,2.50%,0.0012,1850550,2220.66,,,,,
1946,20.42,7.87%,0.0046,1881294.6,8653.95516,,,,,
1947,22.12,39.64%,0.0003,1335163.2,400.54896,,,,,
1948,2.94,13.22%,0.0039,255133.2,995.01948,,,,,
1949,21.83,2.01%,0.0097,2139121.7,20749.48049,,,,,
1950,10.76,20.55%,0.0072,854882,6155.1504,,,,,
1951,17.83,16.50%,0.0097,1488805,14441.4085,,,,,
1952,7.23,3.03%,0.0051,701093.1,3575.57481,,,,,
1953,3.81,11.58%,0.0019,336880.2,640.07238,,,,,
1954,7.69,20.35%,0.0079,612508.5,4838.81715,,,,,
1955,7.74,31.29%,0.0043,531815.4,2286.80622,,,,,
1956,6.58,28.53%,0.0019,470272.6,893.51794,,,,,
1957,2.46,12.82%,0.0091,214462.8,1951.61148,,,,,
1958,22.25,0.02%,0.0027,2224555,6006.2985,,,,,
1959,16.01,35.62%,0.007,1030723.8,7215.0666,,,,,
1960,21.44,20.68%,0.0046,1700620.8,7822.85568,,,,,
1961,5.57,9.18%,0.0085,505867.4,4299.8729,,,,,
1962,4.87,4.89%,0.0064,463185.7,2964.38848,,,,,
1963,12.4,32.46%,0.0053,837496,4438.7288,,,,,
1964,19.38,37.38%,0.0092,1213575.6,11164.89552,,,,,
1965,18.3,7.80%,0.0069,1687260,11642.094,,,,,
1966,22.82,38.80%,0.0033,1396584,4608.7272,,,,,
1967,2.55,35.23%,0.0085,165163.5,1403.88975,,,,,
1968,6.03,21.37%,0.0045,474138.9,2133.62505,,,,,
1969,12.21,18.55%,0.0049,994504.5,4873.07205,,,,,
1970,10.21,39.04%,0.004,622401.6,2489.6064,,,,,
1971,24.48,37.56%,0.0062,1528531.2,9476.89344,,,,,
1972,0.55,28.35%,0.0082,39407.5,323.1415,,,,,
1973,0.09,34.89%,0.007,5859.9,41.0193,,,,,
1974,19.2,0.62%,0.001,1908096,1908.096,,,,,
1975,10.64,11.09%,0.0006,946002.4,567.60144,,,,,
1976,4.89,6.52%,0.0044,457117.2,2011.31568,,,,,
1977,1.87,17.98%,0.0076,153377.4,1165.66824,,,,,
1978,22.33,16.46%,0.0045,1865448.2,8394.5169,,,,,
1979,21.5,31.99%,0.0069,1462215,10089.2835,,,,,
1980,23.28,12.83%,0.0074,2029317.6,15016.95024,,,,,
1981,10.32,18.61%,0.0085,839944.8,7139.5308,,,,,
1982,12.49,32.59%,0.0021,841950.9,1768.09689,,,,,
1983,11.02,22.45%,0.0069,854601,5896.7469,,,,,
1984,22.49,31.65%,0.0073,1537191.5,11221.49795,,,,,
1985,8.34,3.56%,0.0089,804309.6,7158.35544,,,,,
1986,19.41,31.49%,0.003,1329779.1,3989.3373,,,,,
1987,15.75,10.90%,0.0065,1403325,9121.6125,,,,,
1988,6.34,3.63%,0.0052,610985.8,3177.12616,,,,,
1989,23.24,29.57%,0.0038,1636793.2,6219.81416,,,,,
1990,5.9,19.86%,0.0005,472826,236.413,,,,,
1991,2.45,8.23%,0.0041,224836.5,921.82965,,,,,
1992,8.43,5.46%,0.0037,796972.2,2948.79714,,,,,
1993,22.16,17.13%,0.0087,1836399.2,15976.67304,,,,,
1994,22.89,30.38%,0.0034,1593601.8,5418.24612,,,,,
1995,13.91,26.28%,0.0011,1025445.2,1127.98972,,,,,
1996,7.02,23.01%,0.0027,540469.8,1459.26846,,,,,
1997,11.7,6.65%,0,1092195,0,,,,,
1998,21.24,0.67%,0.0097,2109769.2,20464.76124,,,,,
1999,24.38,32.61%,0.009,1642968.2,14786.7138,,,,,
2000,15.39,17.57%,0.0099,1268597.7,12559.11723,,,,,
2001,1.94,11.16%,0.0044,172349.6,758.33824,,,,,
2002,7.93,28.58%,0.0062,566360.6,3511.43572,,,,,
2003,12.97,9.83%,0.0052,1169504.9,6081.42548,,,,,
2004,8.25,15.94%,0.0057,693495,3952.9215,,,,,
2005,8.64,33.83%,0.01,571708.8,5717.088,,,,,
2006,5.67,2.61%,0.0005,552201.3,276.10065,,,,,
2007,8.87,18.20%,0.0027,725566,1959.0282,,,,,
2008,17.68,33.91%,0.0048,1168471.2,5608.66176,,,,,
2009,22.92,9.65%,0.0074,2070822,15324.0828,,,,,
2010,19.57,20.57%,0.0023,1554445.1,3575.22373,,,,,
2011,10.46,29.33%,0.0076,739208.2,5617.98232,,,,,
2012,7.76,22.90%,0.0089,598296,5324.8344,,,,,
2013,4.8,10.90%,0.0056,427680,2395.008,,,,,
2014,20.06,24.38%,0.0029,1516937.2,4399.11788,,,,,
2015,4.3,3.53%,0.0007,414821,290.3747,,,,,
2016,17.42,18.84%,0.0091,1413807.2,12865.64552,,,,,
2017,3.76,17.98%,0.0018,308395.2,555.11136,,,,,
2018,8.07,28.52%,0.0012,576843.6,692.21232,,,,,
2019,1.6,28.24%,0.0047,114816,539.6352,,,,,
2020,7.76,15.12%,0.0008,658668.8,526.93504,,,,,
2021,2.36,14.99%,0.0093,200623.6,1865.79948,,,,,
2022,13.37,3.71%,0.0027,1287397.3,3475.97271,,,,,
2023,12.53,4.14%,0.0005,1201125.8,600.5629,,,,,
2024,23.33,6.92%,0.0026,2171556.4,5646.04664,,,,,
2025,21.11,14.95%,0.0013,1795405.5,2334.02715,,,,,
2026,15.8,8.89%,0.009,1439538,12955.842,,,,,
2027,20.75,24.68%,0.0023,1562890,3594.647,,,,,
2028,14.7,31.26%,0.0084,1010478,8488.0152,,,,,
2029,4.2,32.55%,0.003,283290,849.87,,,,,
2030,7.32,9.73%,0.0032,660776.4,2114.48448,,,,,
2031,9.86,17.71%,0.0006,811379.4,486.82764,,,,,
2032,19.24,31.41%,0.0043,1319671.6,5674.58788,,,,,
2033,0.08,35.96%,0.0024,5123.2,12.29568,,,,,
2034,1.19,28.94%,0.0032,84561.4,270.59648,,,,,
2035,1.58,4.65%,0.0027,150653,406.7631,,,,,
2036,23.19,4.42%,0.006,2216500.2,13299.0012,,,,,
2037,11.3,13.83%,0.0064,973721,6231.8144,,,,,
2038,8.98,28.95%,0.0095,638029,6061.2755,,,,,
2039,22.21,30.34%,0.0037,1547148.6,5724.44982,,,,,
2040,21.95,14.03%,0.0077,1887041.5,14530.21955,,,,,
2041,14.28,36.17%,0.0019,911492.4,1731.83556,,,,,
2042,16.4,7.81%,0.0003,1511916,453.5748,,,,,
2043,15.22,1.67%,0.0003,1496582.6,448.97478,,,,,
2044,5.64,25.30%,0.0097,421308,4086.6876,,,,,
2045,24.02,28.54%,0.0029,1716469.2,4977.76068,,,,,
2046,7.21,19.00%,0.0002,584010,116.802,,,,,
2047,9.86,29.55%,0.0094,694637,6529.5878,,,,,
2048,23.33,31.66%,0.01,1594372.2,15943.722,,,,,
2049,23.5,2.79%,0.0037,2284435,8452.4095,,,,,
2050,6.52,6.42%,0.0037,610141.6,2257.52392,,,,,
2051,6.71,26.36%,0.0085,494124.4,4200.0574,,,,,
2052,7.18,15.93%,0.0003,603622.6,181.08678,,,,,
2053,19.55,3.09%,0.0084,1894590.5,15914.5602,,,,,
2054,14.05,6.68%,0.0004,1311146,524.4584,,,,,
2055,9.05,4.17%,0.0023,867261.5,1994.70145,,,,,
2056,18.51,30.03%,0.001,1295144.7,1295.1447,,,,,
2057,1.78,15.49%,0.0027,150427.8,406.15506,,,,,
2058,13.82,26.23%,0.0085,1019501.4,8665.7619,,,,,
2059,19.81,37.27%,0.0077,1242681.3,9568.64601,,,,,
2060,24.57,22.16%,0.0013,1912528.8,2486.28744,,,,,
2061,11.16,26.38%,0.0017,821599.2,1396.71864,,,,,
2062,17.82,17.39%,0.0064,1472110.2,9421.50528,,,,,
2063,5.77,8.80%,0.0053,526224,2788.9872,,,,,
2064,20.33,24.92%,0.0054,1526376.4,8242.43256,,,,,
2065,12.44,27.54%,0.0098,901402.4,8833.74352,,,,,
2066,21.01,34.77%,0.0046,1370482.3,6304.21858,,,,,
2067,23.81,28.66%,0.006,1698605.4,10191.6324,,,,,
2068,22,29.82%,0.0033,1543960,5095.068,,,,,
2069,14.4,16.32%,0.0021,1204992,2530.4832,,,,,
2070,5.08,17.75%,0.0074,417830,3091.942,,,,,
2071,4.41,5.65%,0.0055,416083.5,2288.45925,,,,,
2072,1.35,23.45%,0.0017,103342.5,175.68225,,,,,
2073,20.38,13.30%,0.0002,1766946,353.3892,,,,,
2074,10.84,17.08%,0.0011,898852.8,988.73808,,,,,
2075,9.43,33.54%,0.0018,626717.8,1128.09204,,,,,
2076,18.25,12.10%,0.0076,1604175,12191.73,,,,,
2077,7.64,0.58%,0.0084,759568.8,6380.37792,,,,,
2078,7.21,33.28%,0.0046,481051.2,2212.83552,,,,,
2079,2.15,18.68%,0.0006,174838,104.9028,,,,,
2080,13.65,3.90%,0.0031,1311765,4066.4715,,,,,
2081,3.82,4.35%,0.0086,365383,3142.2938,,,,,
2082,5.13,0.87%,0.0071,508536.9,3610.61199,,,,,
2083,12.51,28.25%,0.0028,897592.5,2513.259,,,,,
2084,0.62,39.47%,0.0074,37528.6,277.71164,,,,,
2085,21.14,26.05%,0.0043,1563303,6722.2029,,,,,
2086,8.55,14.29%,0.0038,732820.5,2784.7179,,,,,
2087,2.62,25.40%,0.0025,195452,488.63,,,,,
2088,3.62,21.18%,0.0023,285328.4,656.25532,,,,,
2089,11.58,8.74%,0.0002,1056790.8,211.35816,,,,,
2090,20.62,30.89%,0.005,1425048.2,7125.241,,,,,
2091,10.33,2.13%,0.0024,1010997.1,2426.39304,,,,,
2092,16.78,3.57%,0.0039,1618095.4,6310.57206,,,,,
2093,5.25,22.44%,0.0065,407190,2646.735,,,,,
2094,7.95,7.70%,0.0052,733785,3815.682,,,,,
2095,19.25,29.74%,0.0088,1352505,11902.044,,,,,
2096,12.21,2.08%,0.0096,1195603.2,11477.79072,,,,,
2097,18.77,25.11%,0.0082,1405685.3,11526.61946,,,,,
2098,8.41,14.35%,0.0086,720316.5,6194.7219,,,,,
2099,11.04,39.84%,0.0046,664166.4,3055.16544,,,,,
2100,24.88,29.82%,0.0099,1746078.4,17286.17616,,,,,
2101,17.41,9.41%,0.0093,1577171.9,14667.69867,,,,,
2102,23.04,16.98%,0.0017,1912780.8,3251.72736,,,,,
2103,16.13,4.24%,0.0015,1544608.8,2316.9132,,,,,
2104,19.78,34.62%,0.0051,1293216.4,6595.40364,,,,,
2105,16.4,29.22%,0.0043,1160792,4991.4056,,,,,
2106,9.74,0.38%,0.0028,970298.8,2716.83664,,,,,
2107,3.32,15.62%,0.0078,280141.6,2185.10448,,,,,
2108,12.56,23.42%,0.0005,961844.8,480.9224,,,,,
2109,3.87,8.50%,0.0021,354105,743.6205,,,,,
2110,5.42,2.09%,0.0014,530672.2,742.94108,,,,,
2111,13.94,9.02%,0.0013,1268261.2,1648.73956,,,,,
2112,9.64,12.47%,0.0031,843789.2,2615.74652,,,,,
2113,1.88,29.81%,0.0069,131957.2,910.50468,,,,,
2114,1.4,21.36%,0.0051,110096,561.4896,,,,,
2115,5.95,0.70%,0.0048,590835,2836.008,,,,,
2116,13.08,34.04%,0.0037,862756.8,3192.20016,,,,,
2117,9.55,7.99%,0.008,878695.5,7029.564,,,,,
2118,24.05,6.30%,0.0084,2253485,18929.274,,,,,
2119,14.95,3.59%,0.0035,1441329.5,5044.65325,,,,,
2120,17.09,20.54%,0.0032,1357971.4,4345.50848,,,,,
2121,14.06,28.69%,0.0012,1002618.6,1203.14232,,,,,
2122,11.33,36.63%,0.0012,717982.1,861.57852,,,,,
2123,10.47,5.74%,0.0098,986902.2,9671.64156,,,,,
2124,2.57,4.20%,0.002,246206,492.412,,,,,
2125,21.53,0.01%,0.0034,2152784.7,7319.46798,,,,,
2126,0.43,26.32%,0.0053,31682.4,167.91672,,,,,
2127,18.36,27.76%,0.0001,1326326.4,132.63264,,,,,
2128,21.11,22.74%,0.0099,1630958.6,16146.49014,,,,,
2129,1.34,30.69%,0.0065,92875.4,603.6901,,,,,
2130,10.02,12.72%,0.0038,874545.6,3323.27328,,,,,
2131,15.47,22.39%,0.0005,1200626.7,600.31335,,,,,
2132,15.6,32.26%,0.0066,1056744,6974.5104,,,,,
2133,8.99,6.66%,0.0059,839126.6,4950.84694,,,,,
2134,2.15,12.78%,0.0022,187523,412.5506,,,,,
2135,12.78,17.23%,0.0065,1057800.6,6875.7039,,,,,
2136,24.67,37.55%,0.0041,1540641.5,6316.63015,,,,,
2137,20.58,28.38%,0.0036,1473939.6,5306.18256,,,,,
2138,18.03,26.13%,0.0011,1331876.1,1465.06371,,,,,
2139,12.34,23.06%,0.0023,949439.6,2183.71108,,,,,
2140,9.49,28.41%,0.0024,679389.1,1630.53384,,,,,
2141,22.26,36.74%,0.002,1408167.6,2816.3352,,,,,
2142,5.98,23.31%,0.0005,458606.2,229.3031,,,,,
2143,6.4,29.40%,0.0098,451840,4428.032,,,,,
2144,11.31,15.43%,0.003,956486.7,2869.4601,,,,,
2145,3.3,10.57%,0.0025,295119,737.7975,,,,,
2146,3.87,33.09%,0.0068,258941.7,1760.80356,,,,,
2147,18.45,1.55%,0.001,1816402.5,1816.4025,,,,,
2148,7.31,33.30%,0.0056,487577,2730.4312,,,,,
2149,20.66,4.69%,0.0001,1969104.6,196.91046,,,,,
2150,23.95,9.78%,0.0085,2160769,18366.5365,,,,,
2151,2.17,22.97%,0.0007,167155.1,117.00857,,,,,
2152,15.12,37.58%,0.0027,943790.4,2548.23408,,,,,
2153,19.13,16.15%,0.003,1604050.5,4812.1515,,,,,
2154,9.26,3.49%,0.0057,893682.6,5093.99082,,,,,
2155,16.09,14.20%,0.0091,1380522,12562.7502,,,,,
2156,12.94,22.62%,0.0025,1001297.2,2503.243,,,,,
2157,10.75,38.90%,0.006,656825,3940.95,,,,,
2158,12.25,36.24%,0.0087,781060,6795.222,,,,,
2159,14.48,18.89%,0.0029,1174472.8,3405.97112,,,,,
2160,9.38,24.40%,0.0094,709128,6665.8032,,,,,
2161,6.75,24.08%,0.0069,512460,3535.974,,,,,
2162,17.96,12.22%,0.0045,1576528.8,7094.3796,,,,,
2163,16.91,0.24%,0.0021,1686941.6,3542.57736,,,,,
2164,11.84,23.47%,0.0013,906115.2,1177.94976,,,,,
2165,13.32,39.72%,0.0046,802929.6,3693.47616,,,,,
2166,11.4,19.74%,0.0063,914964,5764.2732,,,,,
2167,10.27,21.93%,0.0011,801778.9,881.95679,,,,,
2168,12.27,30.91%,0.0055,847734.3,4662.53865,,,,,
2169,22.41,19.75%,0.0057,1798402.5,10250.89425,,,,,
2170,23.84,18.65%,0.001,1939384,1939.384,,,,,
2171,4.21,4.61%,0.0035,401591.9,1405.57165,,,,,
2172,23.69,3.72%,0.0007,2280873.2,1596.61124,,,,,
2173,19.25,23.16%,0.0029,1479170,4289.593,,,,,
2174,0.87,29.59%,0.0076,61256.7,465.55092,,,,,
2175,13.4,2.26%,0.007,1309716,9168.012,,,,,
2176,9.32,17.14%,0.0051,772255.2,3938.50152,,,,,
2177,13.09,25.30%,0.0063,977823,6160.2849,,,,,
2178,6.72,2.40%,0.0037,655872,2426.7264,,,,,
2179,14.3,14.82%,0.0077,1218074,9379.1698,,,,,
2180,7.01,15.68%,0.0008,591083.2,472.86656,,,,,
2181,2.78,26.94%,0.0099,203106.8,2010.75732,,,,,
2182,15.9,2.29%,0.0028,1553589,4350.0492,,,,,
2183,22.58,18.32%,0.0002,1844334.4,368.86688,,,,,
2184,9.05,25.19%,0.0019,677030.5,1286.35795,,,,,
2185,16.66,7.79%,0.0093,1536218.6,14286.83298,,,,,
2186,5.46,5.83%,0.0061,514168.2,3136.42602,,,,,
2187,4.83,22.25%,0.0044,375532.5,1652.343,,,,,
2188,11.38,13.16%,0.001,988239.2,988.2392,,,,,
2189,14.96,3.20%,0.0006,1448128,868.8768,,,,,
2190,22.35,21.31%,0.0053,1758721.5,9321.22395,,,,,
2191,9.79,19.29%,0.0022,790150.9,1738.33198,,,,,
2192,23.61,39.69%,0.0059,1423919.1,8401.12269,,,,,
2193,19.97,4.58%,0.0011,1905537.4,2096.09114,,,,,
2194,0.44,38.24%,0.002,27174.4,54.3488,,,,,
2195,24.73,27.59%,0.0011,1790699.3,1969.76923,,,,,
2196,4.45,16.15%,0,373132.5,0,,,,,
2197,13.48,14.06%,0.0076,1158471.2,8804.38112,,,,,
2198,21.73,12.53%,0.0015,1900723.1,2851.08465,,,,,
2199,10.94,4.20%,0.0035,1048052,3668.182,,,,,
2200,4.04,19.52%,0.0065,325139.2,2113.4048,,,,,
2201,19.08,9.56%,0.0005,1725595.2,862.7976,,,,,
2202,12.84,28.83%,0.0058,913822.8,5300.17224,,,,,
2203,14.42,12.69%,0.002,1259010.2,2518.0204,,,,,
2204,4.48,33.09%,0.0096,299756.8,2877.66528,,,,,
2205,4.09,27.34%,0,297179.4,0,,,,,
2206,9.04,6.71%,0.01,843341.6,8433.416,,,,,
2207,11.14,36.11%,0.0025,711734.6,1779.3365,,,,,
2208,22.88,15.67%,0.0028,1929470.4,5402.51712,,,,,
2209,16.45,31.78%,0.0091,1122219,10212.1929,,,,,
2210,11.73,38.23%,0.0064,724562.1,4637.19744,,,,,
2211,7.33,0.68%,0.0037,728015.6,2693.65772,,,,,
2212,14.93,32.52%,0.0008,1007476.4,805.98112,,,,,
2213,10.7,0.63%,0.0066,1063259,7017.5094,,,,,
2214,3.96,32.82%,0.0063,266032.8,1676.00664,,,,,
2215,1.49,37.79%,0.0026,92692.9,241.00154,,,,,
2216,10.51,30.14%,0.0073,734228.6,5359.86878,,,,,
2217,14.19,3.75%,0.0001,1365787.5,136.57875,,,,,
2218,19.79,27.35%,0.0064,1437743.5,9201.5584,,,,,
2219,24.04,23.75%,0.0003,1833050,549.915,,,,,
2220,10.45,37.88%,0.0072,649154,4673.9088,,,,,
2221,22.62,1.68%,0.0004,2223998.4,889.59936,,,,,
2222,2.44,16.96%,0.0012,202617.6,243.14112,,,,,
2223,11.28,17.79%,0.0012,927328.8,1112.79456,,,,,
2224,13.88,9.65%,0.0096,1254058,12038.9568,,,,,
2225,13.91,38.17%,0.0005,860055.3,430.02765,,,,,
2226,2.03,30.33%,0.0001,141430.1,14.14301,,,,,
2227,5.13,29.17%,0.0011,363357.9,399.69369,,,,,
2228,14.54,8.09%,0.0016,1336371.4,2138.19424,,,,,
2229,18.23,20.96%,0.0002,1440899.2,288.17984,,,,,
2230,13.99,13.34%,0.0032,1212373.4,3879.59488,,,,,
2231,15.41,5.82%,0.0056,1451313.8,8127.35728,,,,,
2232,3.46,8.69%,0.0002,315932.6,63.18652,,,,,
2233,13.38,29.41%,0.0073,944494.2,6894.80766,,,,,
2234,19.08,32.95%,0.0099,1279314,12665.2086,,,,,
2235,2.16,0.14%,0.0064,215697.6,1380.46464,,,,,
2236,19.92,22.58%,0.0079,1542206.4,12183.43056,,,,,
2237,5.86,8.50%,0.0064,536190,3431.616,,,,,
2238,14.83,5.98%,0.0098,1394316.6,13664.30268,,,,,
2239,1.42,24.19%,0.0081,107650.2,871.96662,,,,,
2240,12.31,19.21%,0.0078,994524.9,7757.29422,,,,,
2241,22.05,25.70%,0.0034,1638315,5570.271,,,,,
2242,15.13,6.60%,0.0061,1413142,8620.1662,,,,,
2243,12.6,0.77%,0.004,1250298,5001.192,,,,,
2244,11.58,27.38%,0.0009,840939.6,756.84564,,,,,
2245,16.28,33.98%,0.0093,1074805.6,9995.69208,,,,,
2246,8.16,17.89%,0.0076,670017.6,5092.13376,,,,,
2247,18.4,32.77%,0.004,1237032,4948.128,,,,,
2248,14.22,4.68%,0.0013,1355450.4,1762.08552,,,,,
2249,10.22,31.60%,0.0094,699048,6571.0512,,,,,
2250,9.43,39.08%,0.0064,574475.6,3676.64384,,,,,
2251,1.29,0.38%,0.0042,128509.8,539.74116,,,,,
2252,15.13,15.31%,0.0039,1281359.7,4997.30283,,,,,
2253,22.37,27.59%,0.0092,1619811.7,14902.26764,,,,,
2254,1.24,15.37%,0.007,104941.2,734.5884,,,,,
2255,10.64,19.80%,0.0084,853328,7167.9552,,,,,
2256,2.66,35.44%,0.005,171729.6,858.648,,,,,
2257,6.24,12.89%,0.0012,543566.4,652.27968,,,,,
2258,11.35,8.48%,0.0034,1038752,3531.7568,,,,,
2259,5.94,8.28%,0.0047,544816.8,2560.63896,,,,,
2260,16.06,18.78%,0.008,1304393.2,10435.1456,,,,,
2261,8.34,29.33%,0.0052,589387.8,3064.81656,,,,,
2262,2.82,23.19%,0.0061,216604.2,1321.28562,,,,,
2263,4.14,14.42%,0.0078,354301.2,2763.54936,,,,,
2264,13.81,0.80%,0.0084,1369952,11507.5968,,,,,
2265,17.38,38.57%,0.0012,1067653.4,1281.18408,,,,,
2266,17.6,14.57%,0.003,1503568,4510.704,,,,,
2267,14.82,17.29%,0.0038,1225762.2,4657.89636,,,,,
2268,14.31,25.84%,0.0081,1061229.6,8595.95976,,,,,
2269,11.56,30.10%,0.0084,808044,6787.5696,,,,,
2270,19.5,34.01%,0.0047,1286805,6047.9835,,,,,
2271,3.37,4.75%,0.0091,320992.5,2921.03175,,,,,
2272,22.98,21.56%,0.006,1802551.2,10815.3072,,,,,
2273,10.49,3.48%,0.0083,1012494.8,8403.70684,,,,,
2274,18.31,30.46%,0.0059,1273277.4,7512.33666,,,,,
2275,4.78,19.92%,0.0044,382782.4,1684.24256,,,,,
2276,22.47,26.32%,0.0085,1655589.6,14072.5116,,,,,
2277,24.7,19.28%,0.007,1993784,13956.488,,,,,
2278,9.31,20.72%,0.0037,738096.8,2730.95816,,,,,
2279,15.89,0.59%,0.0028,1579624.9,4422.94972,,,,,
2280,11.12,33.03%,0.0056,744706.4,4170.35584,,,,,
2281,17.13,3.29%,0.0005,1656642.3,828.32115,,,,,
2282,6.3,11.38%,0.0041,558306,2289.0546,,,,,
2283,19.75,26.00%,0.0063,1461500,9207.45,,,,,
2284,8.44,38.37%,0.0042,520157.2,2184.66024,,,,,
2285,14.16,6.87%,0.0082,1318720.8,10813.51056,,,,,
2286,16.69,12.56%,0.004,1459373.6,5837.4944,,,,,
2287,3.74,16.01%,0.0043,314122.6,1350.72718,,,,,
2288,3.76,11.43%,0.0089,333023.2,2963.90648,,,,,
2289,11.45,7.34%,0.0039,1060957,4137.7323,,,,,
2290,21.45,18.96%,0.0046,1738308,7996.2168,,,,,
2291,10.98,37.04%,0.0089,691300.8,6152.57712,,,,,
2292,19.23,2.26%,0.0083,1879540.2,15600.18366,,,,,
2293,9.68,33.93%,0.0087,639557.6,5564.15112,,,,,
2294,15.81,15.40%,0.0071,1337526,9496.4346,,,,,
2295,3.14,4.94%,0.0002,298488.4,59.69768,,,,,
2296,24.12,22.66%,0.0056,1865440.8,10446.46848,,,,,
2297,8.8,15.35%,0.005,744920,3724.6,,,,,
2298,11.5,24.55%,0.0045,867675,3904.5375,,,,,
2299,18.78,16.63%,0.0001,1565688.6,156.56886,,,,,
2300,17.81,18.06%,0.0081,1459351.4,11820.74634,,,,,
2301,15.37,37.81%,0.0045,955860.3,4301.37135,,,,,
2302,7.16,28.55%,0.0018,511582,920.8476,,,,,
2303,0.41,34.78%,0.007,26740.2,187.1814,,,,,
2304,12.11,11.49%,0.0035,1071856.1,3751.49635,,,,,
2305,24.9,31.07%,0.0047,1716357,8066.8779,,,,,
2306,0.75,26.56%,0.0064,55080,352.512,,,,,
2307,1.28,22.51%,0.0023,99187.2,228.13056,,,,,
2308,14.57,38.82%,0.005,891392.6,4456.963,,,,,
2309,6.27,39.04%,0.0073,382219.2,2790.20016,,,,,
2310,8.76,25.67%,0.0089,651130.8,5795.06412,,,,,
2311,22.32,38.41%,0.0025,1374688.8,3436.722,,,,,
2312,12.52,31.87%,0.0048,852987.6,4094.34048,,,,,
2313,11.75,18.18%,0.0061,961385,5864.4485,,,,,
2314,7.52,7.94%,0.004,692291.2,2769.1648,,,,,
2315,11.81,37.28%,0.0076,740723.2,5629.49632,,,,,
2316,1.76,39.70%,0.0099,106128,1050.6672,,,,,
2317,21.43,20.06%,0.0018,1713114.2,3083.60556,,,,,
2318,24.49,32.41%,0.0012,1655279.1,1986.33492,,,,,
2319,0.95,28.80%,0.0067,67640,453.188,,,,,
2320,17.48,15.81%,0.0028,1471641.2,4120.59536,,,,,
2321,24.07,39.49%,0.0004,1456475.7,582.59028,,,,,
2322,8.73,22.90%,0.0059,673083,3971.1897,,,,,
2323,8.08,25.38%,0.0006,602929.6,361.75776,,,,,
2324,3.95,11.07%,0.0061,351273.5,2142.76835,,,,,
2325,0.03,33.68%,0.002,1989.6,3.9792,,,,,
2326,4.85,16.66%,0.0036,404199,1455.1164,,,,,
2327,5.31,24.08%,0.0018,403135.2,725.64336,,,,,
2328,16.57,7.03%,0.001,1540512.9,1540.5129,,,,,
2329,10.01,20.27%,0.0045,798097.3,3591.43785,,,,,
2330,9.77,18.55%,0.004,795766.5,3183.066,,,,,
2331,12.22,30.07%,0.0018,854544.6,1538.18028,,,,,
2332,7.75,34.14%,0.0049,510415,2501.0335,,,,,
2333,23.78,21.57%,0.0082,1865065.4,15293.53628,,,,,
2334,18.92,34.02%,0.0029,1248341.6,3620.19064,,,,,
2335,17.84,30.54%,0.0088,1239166.4,10904.66432,,,,,
2336,14.39,34.39%,0.0077,944127.9,7269.78483,,,,,
2337,0.38,21.93%,0.0036,29666.6,106.79976,,,,,
2338,18.01,32.94%,0.0012,1207750.6,1449.30072,,,,,
2339,3.92,21.59%,0.0015,307367.2,461.0508,,,,,
2340,5.5,38.18%,0.0006,340010,204.006,,,,,
2341,18.78,30.08%,0.0001,1313097.6,131.30976,,,,,
